,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,BRK.A,BRK.A,BRK.A,BRK.A,BRK.A,MSFT,MSFT,MSFT,MSFT,MSFT
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,
2020-05-21 00:00:00-04:00,318.66,320.89,315.87,317.04,46099960,2500.0,2525.45,2442.54,2448.01,9538349,264200.0,264930.0,261640.56,262490.0,321,185.4,186.67,183.3,183.49,25273422
2020-05-22 00:00:00-04:00,315.77,319.23,315.35,318.89,37592751,2455.01,2469.85,2430.13,2436.89,5253352,262000.0,262740.0,259990.0,262740.0,254,183.19,184.46,182.54,183.51,18361237
2020-05-26 00:00:00-04:00,323.5,324.24,316.5,316.84,27609402,2458.0,2462.0,2414.06,2423.7,3153936,269900.0,272500.0,268095.0,270220.0,564,186.34,186.5,181.1,181.56,28773423
2020-05-27 00:00:00-04:00,316.14,318.71,313.09,318.08,24944652,2404.99,2413.58,2330.0,2409.51,4754020,276755.0,278999.7,275850.0,278650.0,480,180.2,181.9877,176.6,181.81,34654683
2020-05-28 00:00:00-04:00,316.77,323.44,315.63,318.15,28935286,2384.33,2436.97,2378.23,2401.05,2866537,280899.0,280899.0,276000.0,277994.0,325,180.74,184.1474,180.38,181.27,54218236
2020-05-29 00:00:00-04:00,319.25,321.15,316.47,318.76,56248101,2415.94,2439.0,2398.1973,2436.53,5483326,275000.0,278545.0,273850.0,278040.0,322,182.73,184.27,180.41,183.96,29098645
2020-06-01 00:00:00-04:00,317.75,322.35,317.21,321.76,37704502,2448.0,2476.93,2444.17,2470.12,5441594,278167.0,278167.0,275000.0,275800.0,309,182.54,183.0,181.46,182.86,20137325
2020-06-02 00:00:00-04:00,320.745,323.44,318.93,323.42,37968664,2467.0,2473.53,2445.31,2473.3,4430214,275601.0,279410.0,275601.0,278850.0,375,184.25,185.0,181.35,185.0,50070219
2020-06-03 00:00:00-04:00,324.66,326.1,322.3,325.09,45506089,2468.01,2488.0,2461.17,2478.4,4700140,283100.0,287370.0,281800.0,286368.0,447,184.815,185.94,183.58,185.36,22722209
2020-06-04 00:00:00-04:00,324.39,325.62,320.78,322.25,38930216,2477.43,2507.54,2450.01,2460.6,5957350,285804.0,288000.0,284377.34,288000.0,318,184.3,185.84,182.3,182.95,49455619
2020-06-05 00:00:00-04:00,323.35,331.75,323.23,331.54,29572650,2444.51,2488.645,2437.13,2481.415,2821697,294505.0,302095.06,294200.0,301000.0,673,182.62,187.73,182.01,187.5,66044279
2020-06-08 00:00:00-04:00,330.25,333.5,327.32,333.4402,20899464,2500.2,2530.0,2487.335,2522.8,3362615,303594.0,304990.0,299400.0,302431.0,610,185.94,188.55,184.44,188.47,52985040
2020-06-09 00:00:00-04:00,332.14,345.61,332.01,344.32,66753163,2529.44,2626.43,2525.0,2603.39,9564493,295501.0,298220.0,293799.06,294000.0,428,188.0,190.7,187.2605,190.07,51414137
2020-06-10 00:00:00-04:00,347.9,354.77,346.09,352.78,76721048,2645.0,2722.35,2626.26,2648.16,9144811,293900.0,294493.0,287200.0,287200.0,403,191.125,198.52,191.01,196.82,39155761
2020-06-11 00:00:00-04:00,349.31,351.06,335.59,336.08,44058913,2603.5,2671.38,2536.23,2558.47,5177179,277750.0,280280.0,267000.0,267200.0,909,193.13,195.76,186.24,186.47,88735679
2020-06-12 00:00:00-04:00,344.72,347.8,337.63,337.655,26008570,2601.21,2621.4766,2566.0,2566.705,2752912,275730.0,276800.0,268375.56,268543.12,294,190.54,191.72,188.13,188.14,10546675
2020-06-15 00:00:00-04:00,333.25,344.8,332.58,342.99,62285020,2526.6,2584.0,2508.0,2572.62,6856018,266400.0,272530.0,264030.0,272000.0,820,184.58,190.82,184.01,189.09,27287668
