time,BA,DAL,MGM,WYNN
2020-09-24 00:00:00-04:00,146.0,29.0,21.19,71.07
2020-09-25 00:00:00-04:00,156.06,29.77,22.095,72.335
2020-09-28 00:00:00-04:00,166.21,31.34,22.64,73.62
2020-09-29 00:00:00-04:00,163.6,30.61,21.73,70.98
2020-09-30 00:00:00-04:00,165.36,30.58,21.74,71.81
2020-10-01 00:00:00-04:00,168.0147,31.09,21.82,72.07
2020-10-02 00:00:00-04:00,168.1,31.74,21.67,73.21
2020-10-05 00:00:00-04:00,171.16,32.01,21.56,73.8517
2020-10-06 00:00:00-04:00,159.66,31.06,21.05,74.32
2020-10-07 00:00:00-04:00,164.55,32.13,21.48,75.05
2020-10-08 00:00:00-04:00,167.92,32.68,21.925,74.31
2020-10-09 00:00:00-04:00,167.33,32.82,21.37,72.67
2020-10-12 00:00:00-04:00,167.36,32.65,21.4,74.1
2020-10-13 00:00:00-04:00,162.18,31.79,20.97,71.74
2020-10-14 00:00:00-04:00,163.23,31.78,21.09,71.73
2020-10-15 00:00:00-04:00,164.23,31.34,21.16,72.69
2020-10-16 00:00:00-04:00,167.32,31.46,21.25,71.12
2020-10-19 00:00:00-04:00,167.11,31.5,20.81,69.65
2020-10-20 00:00:00-04:00,167.17,31.97,21.4,72.44
2020-10-21 00:00:00-04:00,163.87,31.51,21.42,72.85
2020-10-22 00:00:00-04:00,169.09,33.7301,22.62,76.43
2020-10-23 00:00:00-04:00,167.38,34.01,23.36,76.6
2020-10-26 00:00:00-04:00,160.81,31.93,22.14,73.53
2020-10-27 00:00:00-04:00,155.24,30.695,21.04,71.83
2020-10-28 00:00:00-04:00,148.17,29.65,20.11,69.01
2020-10-29 00:00:00-04:00,148.223,30.77,21.27,72.18
2020-10-30 00:00:00-04:00,144.39,30.63,20.57,72.45
2020-11-02 00:00:00-05:00,148.59,30.23,20.97,75.82
2020-11-03 00:00:00-05:00,153.67,30.91,21.74,74.57
2020-11-04 00:00:00-05:00,151.64,30.43,21.44,76.12
