Date,SP500,Nasdaq,BA,DAL,MGM,WYNN,Tesla,Gamestop,AAPL,AMZN,BRK.A,MSFT,BTC,ETH
2020-07-14,318.920013,10488.580078,179.95,26.11,16.17,79.28,1516.385,4.09,388.21,3084.02,285000.0,208.39,9243.213867,240.211487
2020-07-15,321.850006,10550.490234,187.88,28.61,18.21,86.75,1546.875,4.19,390.91,3008.87,285990.0,208.05,9192.836914,238.423523
2020-07-16,320.790009,10473.830078,178.76,27.27,17.6,84.61,1500.82,4.17,386.23,2997.82,286410.0,203.92,9132.227539,233.640884
2020-07-17,321.720001,10503.19043,175.65,27.05,16.81,82.76,1500.45,3.96,385.15,2961.47,286253.0,202.87,9151.392578,232.773087
2020-07-20,324.320007,10767.089844,174.33,26.21,16.34,79.95,1642.47,3.85,393.43,3195.01,285980.0,211.49,9164.231445,236.153168
2020-07-21,325.01001,10680.360352,178.51,26.4206,16.69,79.19,1567.58,4.015,388.0,3141.43,288201.0,208.75,9374.887695,245.016724
2020-07-22,326.859985,10706.129883,179.8,26.25,16.320999999999998,76.11,1590.58,4.12,389.09,3100.23,288130.0,211.7533,9525.363281,262.190643
2020-07-23,322.959991,10461.419922,176.47,26.78,15.89,73.9,1513.68,4.12,371.56,2987.725,289813.0,202.6,9581.072266,274.689056
2020-07-24,320.880005,10363.179688,173.79,25.97,15.8,73.41,1415.56,4.03,370.42,3008.92,291869.62,201.3,9536.892578,279.21542400000004
2020-07-27,323.220001,10536.269531,170.13,25.49,14.95,70.66,1539.91,4.01,379.215,3053.89,288212.0,203.85,10990.873047,321.5140990000001
2020-07-28,321.170013,10402.089844,171.0,25.92,15.41,73.37,1475.35,3.95,373.04,2999.62,291031.0,201.74,10912.823242,316.657257
2020-07-29,325.119995,10542.94043,165.96,25.72,16.25,75.23,1499.99,4.06,380.27,3034.27,294500.0,204.06,11100.467773,318.1908870000001
2020-07-30,323.959991,10587.80957,161.9,24.94,16.645,76.4,1487.42,4.105,384.88,3052.65,291362.0,203.89,11111.213867,334.586639
2020-07-31,326.519989,10745.269531,158.01,24.98,16.09,72.42,1432.0,4.01,425.19,3164.68,293656.0,205.1,11323.466797,345.554657
2020-08-03,328.790009,10902.799805,162.24,25.21,16.33,73.04,1484.98,4.15,435.66,3111.42,298775.88,216.54,11246.348633,386.295166
2020-08-04,330.059998,10941.169922,165.1,25.67,16.71,72.8,1486.25,4.44,438.81,3138.82,300330.0,213.35,11205.892578,389.875488
2020-08-05,332.109985,10998.400391,174.25,26.5,16.71,71.24,1485.18,4.63,440.339,3205.83,305620.0,212.95,11747.022461,401.590576
2020-08-06,334.329987,11108.070313,172.24,27.08,18.46,76.52,1489.69,4.43,455.88,3224.35,307622.0,216.35,11779.773438,394.961945
2020-08-07,334.570007,11010.980469,170.1,27.175,19.03,74.1,1453.1,4.16,444.41,3165.75,314000.0,212.44,11601.472656,379.512848
2020-08-10,335.570007,10968.360352,179.4,29.33,21.65,81.44,1419.0,4.33,450.94,3149.87,319135.78,208.33,11878.111328,395.887573
2020-08-11,332.799988,10782.820313,180.165,29.64,21.51,88.29,1374.0,4.36,437.51,3080.67,318976.0,203.33,11410.525391,380.384064
2020-08-12,337.440002,11012.240234,175.47,29.08,21.14,85.85,1554.4229999999998,4.53,452.24,3161.0,320329.0,209.29,11584.93457,391.02417
2020-08-13,336.829987,11042.5,174.775,28.7,21.34,86.67,1620.71,4.64,460.03,3161.02,318114.0,208.72,11784.137695,428.741791
2020-08-14,336.839996,11019.299805,178.08,28.95,21.82,85.01,1651.5,4.74,459.78,3148.0,316500.0,208.89,11768.871094,437.397827
2020-08-17,337.910004,11129.730469,172.04,28.02,21.39,83.5,1835.86,4.63,458.39,3181.16,310480.0,210.2492,12254.402344,429.53125
2020-08-18,338.640015,11210.839844,170.14,27.62,20.95,81.63,1888.11,4.81,462.08,3312.49,312701.0,211.48,11991.233398,423.669312
2020-08-19,337.230011,11146.459961,169.27,27.69,20.9,81.255,1879.0,4.72,462.825,3260.15,310800.0,209.7,11758.283203,406.463776
2020-08-20,338.2799990000001,11264.950195,169.65,27.62,20.83,80.28,2001.3,4.61,472.83,3296.05,309649.0,214.55,11878.37207,416.439789
2020-08-21,339.480011,11311.799805,167.46,27.27,21.16,82.83,2050.0,5.04,497.4,3284.59,311401.0,213.02,11592.489258,389.126343
2020-08-24,342.920013,11379.719727,178.27,29.8,22.27,86.8,2015.695,4.87,503.79,3307.45,318900.0,213.71,11774.595703,408.144196
2020-08-25,344.119995,11466.469727,174.64,30.11,22.09,86.18,2024.09,4.98,499.31,3346.05,320200.0,216.4564,11366.134766,384.001038
2020-08-26,347.570007,11665.05957,171.76,29.96,22.0,84.77,2151.93,5.11,506.19,3442.06,322190.0,221.15,11488.363281,386.466125
2020-08-27,348.329987,11625.339844,174.13,30.815,22.81,86.51,2239.76,5.25,500.04,3400.7,325570.0,226.57,11323.397461,382.632629
2020-08-28,350.579987,11695.629883,175.85,31.99,23.87,91.54,2213.52,5.39,498.83,3401.8,328000.0,228.94,11542.5,395.874664
2020-08-31,349.309998,11775.459961,171.83,30.86,22.5,87.46,498.51,6.69,128.85,3441.91,327280.25,225.06,11680.820313,435.079742
2020-09-01,352.600006,11939.669922,172.11,30.71,22.77,86.28,475.04,7.66,134.2,3500.47,327560.0,227.32,11970.478516,477.05191
2020-09-02,357.700012,12056.44043,174.7,31.14,23.715,89.27,447.245,7.71,131.22,3529.34,332840.0,231.46,11414.03418,440.040497
2020-09-03,345.390015,11458.099609,168.77,31.22,23.07,87.36,407.0,7.81,120.92,3369.17,327900.0,217.3,10245.296875,385.671936
2020-09-04,342.570007,11313.129883,170.95,31.77,23.52,87.78,417.9307,7.64,120.9,3294.62,327585.0,214.14,10511.813477,388.24115
2020-09-08,333.209991,10847.69043,161.19,32.54,23.17,82.67,330.02,7.69,112.83,3149.84,327065.6,202.65,10131.516602,337.6021120000001
2020-09-09,339.790009,11141.55957,160.73,31.75,23.11,82.95,366.21,7.35,117.18,3268.27,329760.0,211.18,10242.347656,351.1100160000001
2020-09-10,333.890015,10919.589844,157.7,31.79,22.83,83.31,370.5,6.2282,113.48,3176.12,326960.0,205.38,10363.138672,368.101898
2020-09-11,334.059998,10853.549805,160.23,31.7,22.72,82.12,372.4101,6.0925,112.01,3117.28,327115.0,204.04,10400.915039,374.695587
2020-09-14,338.459991,11056.650391,165.36,32.8,23.05,83.75,419.765,6.91,115.3599,3102.97,330056.1,205.3,10680.837891,377.26886
2020-09-15,340.170013,11190.320313,163.5,33.5,23.73,82.28,449.38,7.08,115.55,3153.28,328480.0,208.85,10796.951172,364.839203
2020-09-16,338.820007,11050.469727,167.5,34.56,23.01,79.68,441.76,8.674808,112.13,3077.14,329735.0,204.94,10974.905273,365.812286
2020-09-17,335.839996,10910.280273,167.6364,33.93,22.53,79.32,423.43,9.2,110.32,3010.56,326791.0,202.96,10948.990234,389.019226
2020-09-18,330.649994,10793.280273,161.07,32.85,22.02,77.69,440.9701,9.45,106.6,2952.64,327158.03,200.45,10944.585938,384.364532
2020-09-21,326.970001,10778.799805,156.36,29.82,21.105,72.35,449.41,8.75,110.13,2962.0,319816.0,202.64,10462.259766,341.7860720000001
2020-09-22,330.299988,10963.639648,156.8,30.2,21.62,73.415,423.974,10.555,111.8,3129.0,321400.0,207.38,10538.459961,344.503174
2020-09-23,322.640015,10632.990234,151.2106,29.56,21.38,70.69,380.3885,10.05,107.23,2997.44,314860.0,200.59,10225.864258,320.5855410000001
2020-09-24,323.5,10672.269531,146.0,29.0,21.19,71.07,387.63,9.1352,108.2015,3018.58,313135.0,203.18,10745.548828,349.356659
2020-09-25,328.730011,10913.55957,156.06,29.77,22.095,72.335,407.18,10.02,112.28,3094.65,316049.0,207.77,10702.290039,352.161865
2020-09-28,334.190002,11117.530273,166.21,31.34,22.64,73.62,421.0602,10.09,115.0,3175.04,320418.0,209.61,10721.327148,354.9505
2020-09-29,332.369995,11085.25,163.6,30.61,21.73,70.98,418.99,10.35,114.11,3142.92,315689.94,207.16,10848.830078,359.963409
2020-09-30,334.890015,11167.509766,165.36,30.58,21.74,71.81,428.97,10.21,115.61,3147.425,319750.0,210.32,10787.618164,360.022369
2020-10-01,337.040009,11326.509766,168.0147,31.09,21.82,72.07,447.81,9.77,116.8,3222.01,318141.0,212.46,10623.330078,353.231293
2020-10-02,333.839996,11075.019531,168.1,31.74,21.67,73.21,415.2699,9.39,113.02,3125.93,316940.6,206.18,10585.164063,346.532654
2020-10-05,339.76001,11332.490234,171.16,32.01,21.56,73.8517,425.5,9.45,116.54,3199.2,318520.0,210.37,10804.000977,354.2771
2020-10-06,334.929993,11154.599609,159.66,31.06,21.05,74.32,413.7001,9.14,113.16,3099.29,315845.84,205.91,10621.664063,341.0211490000001
2020-10-07,340.76001,11364.599609,164.55,32.13,21.48,75.05,425.19,9.35,115.05,3192.51,319860.0,209.81,10679.136719,342.119781
2020-10-08,343.7799990000001,11420.980469,167.92,32.68,21.925,74.31,425.92,13.505,114.97,3190.55,322757.0,210.63,10923.62793,351.455658
2020-10-14,347.929993,11768.730469,163.23,31.78,21.09,71.73,461.47,12.25,121.29,3363.05,316301.0,220.93,11429.506836,379.484039
2020-10-15,347.5,11713.870117,164.23,31.34,21.16,72.69,448.88,13.82,120.7453,3338.62,317707.0,219.66,11495.349609,377.441833
2020-10-16,347.290009,11671.55957,167.32,31.46,21.25,71.12,439.91,13.31,118.96,3160.0,318434.47,219.65,11322.123047,366.229004
2020-10-19,342.01001,11478.879883,167.11,31.5,20.81,69.65,430.83,13.91,116.0,3207.3,313500.0,214.24,11742.037109,379.935608
2020-10-20,343.380005,11516.490234,167.17,31.97,21.4,72.44,421.97,13.86,117.5,3216.26,315620.0,214.56,11916.334961,369.136902
2020-10-21,342.730011,11484.69043,163.87,31.51,21.42,72.85,422.5,14.095,116.86,3183.6,315360.0,214.785,12823.689453,392.189972
2020-10-22,344.609985,11506.009766,169.09,33.7301,22.62,76.43,425.9,14.91,115.7737,3177.4,317497.0,214.84,12965.891602,413.77298
2020-10-23,345.7799990000001,11548.280273,167.38,34.01,23.36,76.6,420.615,15.03,115.04,3204.64,319344.4,216.26,12931.539063,409.766693
2020-10-26,339.390015,11358.94043,160.81,31.93,22.14,73.53,420.28,13.495,115.06,3207.32,313230.0,210.15,13075.248047,393.888306
2020-10-27,338.220001,11431.349609,155.24,30.695,21.04,71.83,424.471,12.7,116.53,3287.92,310599.0,213.15,13654.21875,403.99704
2020-10-28,326.660004,11004.870117,148.17,29.65,20.11,69.01,406.0,11.81,111.15,3162.49,301964.0,202.71,13271.285156,388.650757
2020-10-29,329.980011,11185.589844,148.22299999999998,30.77,21.27,72.18,410.64,11.73,114.52,3212.79,303021.0,204.39,13437.882813,386.730103
2020-10-30,326.540009,10911.589844,144.39,30.63,20.57,72.45,388.04,10.4679,108.9,3036.13,303185.0,202.58,13546.522461000002,382.819977
2020-11-02,330.200012,10957.610352,148.59,30.23,20.97,75.82,400.51,10.75,108.77,3004.48,306282.0,202.32,13550.489258,383.156738
2020-11-03,336.0299990000001,11160.570313,153.67,30.91,21.74,74.57,423.74,11.56,110.375,3046.25,310000.0,206.12,13950.300781,387.602173
2020-11-04,343.540009,11590.780273,151.64,30.43,21.44,76.12,420.91,10.9,114.94,3241.16,309812.0,216.32,14133.707031,402.141998
2020-11-05,350.23999,11890.929688,157.09,31.96,21.84,80.175,438.09,11.46,118.99,3322.0,311557.0,223.29,15579.848633,414.067352
2020-11-06,350.160004,11895.230469,157.755,31.43,22.0297,80.05,429.92,11.87,118.685,3310.41,313464.0,223.62,15565.880859,454.719299
2020-11-09,354.559998,11713.780273,179.36,36.77,25.31,102.34,421.39,11.5,116.32,3141.34,332035.0,218.34,15332.31543,444.163055
2020-11-10,354.040009,11553.860352,188.74,37.02,24.79,96.73,410.41,11.11,115.97,3035.18,342700.0,211.02,15290.902344,449.679626
2020-11-11,356.670013,11786.429688,182.32,35.03,23.99,91.66,417.13,11.76,119.51,3136.81,340921.0,216.4,15701.339844,462.960541
2020-11-12,353.209991,11709.589844,176.77,34.3801,23.69,86.64,411.73,11.14,119.235,3110.2,337299.5,215.47,16276.34375,461.00528
2020-11-13,358.100006,11829.290039,185.7871,36.52,25.6417,92.22,406.78,11.115,119.49,3134.09,341324.0,217.31,16317.808594,474.626434
2020-11-16,362.570007,11924.129883,202.4,38.01,26.52,94.75,408.09,12.07,120.35,3132.99,350000.0,217.39,16716.111328,459.940308
2020-11-17,360.619995,11899.339844,210.02,37.61,26.42,94.3,441.57,11.64,119.36,3135.66,349900.0,214.47,17645.40625,480.36007699999993
2020-11-18,356.2799990000001,11801.599609,203.2,37.9,26.91,95.66,486.64,11.58,118.0,3105.1,345500.0,210.97,17804.005859,479.48407
2020-11-19,357.7799990000001,11904.709961,205.56,37.92,27.22,98.75,499.16,12.46,118.64,3114.41,345000.0,212.31,17817.089844,471.630432
2020-11-20,355.329987,11854.969727,199.62,37.14,26.21,95.31,489.44,12.71,117.32,3099.205,341044.47,210.34,18621.314453,509.744568
2020-11-23,357.459991,11880.629883,211.38,38.78,26.16,95.48,521.67,13.9,113.88,3100.18,344356.0,210.09,18364.121094,608.454041
2020-11-24,363.220001,12036.790039,218.38,41.27,28.45,102.77,555.86,13.68,115.17,3116.86,350876.0,213.86,19107.464844,603.897766
