time,Tesla,Gamestop
2021-02-16 00:00:00-05:00,795.99,49.5
2021-02-17 00:00:00-05:00,798.25,45.845
2021-02-18 00:00:00-05:00,787.3,40.7
2021-02-19 00:00:00-05:00,781.5,40.6799
2021-02-22 00:00:00-05:00,714.71,45.79
2021-02-23 00:00:00-05:00,698.65,44.94
2021-02-24 00:00:00-05:00,742.02,91.7
2021-02-25 00:00:00-05:00,682.6,109.1599
2021-02-26 00:00:00-05:00,671.01,101.5999
2021-03-01 00:00:00-05:00,718.43,119.49
2021-03-02 00:00:00-05:00,686.05,118.1
2021-03-03 00:00:00-05:00,652.22,124.8
2021-03-04 00:00:00-05:00,621.49,132.35
2021-03-05 00:00:00-05:00,597.496,137.0
2021-03-08 00:00:00-05:00,562.97,192.99
2021-03-09 00:00:00-05:00,673.58,246.9
2021-03-10 00:00:00-05:00,668.27,263.05
2021-03-11 00:00:00-05:00,699.6,256.19
2021-03-12 00:00:00-05:00,693.84,264.4589
2021-03-15 00:00:00-04:00,707.94,220.13
2021-03-16 00:00:00-04:00,676.63,207.6199
2021-03-17 00:00:00-04:00,701.54,209.8
2021-03-18 00:00:00-04:00,653.3,201.52
2021-03-19 00:00:00-04:00,654.97,199.46
2021-03-22 00:00:00-04:00,670.0,194.52
2021-03-23 00:00:00-04:00,662.475,180.66
2021-03-24 00:00:00-04:00,630.12,120.335
2021-03-25 00:00:00-04:00,640.49,183.72
2021-03-26 00:00:00-04:00,618.8299,179.98
2021-03-29 00:00:00-04:00,611.51,181.08
2021-03-30 00:00:00-04:00,635.925,193.98
2021-03-31 00:00:00-04:00,668.06,190.2
2021-04-01 00:00:00-04:00,661.33,190.6
2021-04-05 00:00:00-04:00,691.0,186.1239
2021-04-06 00:00:00-04:00,691.44,184.4
2021-04-07 00:00:00-04:00,671.03,177.73
2021-04-08 00:00:00-04:00,683.77,170.24
2021-04-09 00:00:00-04:00,677.02,158.32
2021-04-12 00:00:00-04:00,701.63,141.07
2021-04-13 00:00:00-04:00,762.35,140.72
