,SP500,Nasdaq
209,379.790009,13128.950195
210,378.459991,13112.639648
211,375.700012,12998.5
212,378.649994,13197.179688
213,383.890015,13457.25
214,384.23999,13530.910156
215,382.880005,13543.05957
216,384.390015,13635.990234
217,383.790009,13626.05957
218,374.410004,13270.599609
219,377.630005,13337.160156
220,370.070007,13070.69043
221,376.230011,13403.389648
222,381.549988,13612.780272999998
223,381.850006,13610.540038999998
224,386.190002,13777.740234
225,387.709991,13856.299805
226,390.51001,13987.639647999998
227,390.25,14007.700195
228,390.079987,13972.530272999998
229,390.709991,14025.769531
230,392.640015,14095.469727000002
231,392.299988,14047.5
232,392.390015,13965.490234
233,390.72000099999997,13865.360352000002
234,390.02999900000003,13874.459961000002
235,387.02999900000003,13533.049805
236,387.5,13465.200195
237,391.769989,13597.969727000002
