,,BTC,BTC,BTC,BTC,BTC,ETH,ETH,ETH,ETH,ETH
,Date,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
155,8/19/2020,11990.88477,12028.92383,11687.33301,11758.2832,24502851117,423.738586,427.024658,396.678345,406.463776,13137391167
156,8/20/2020,11761.5,11900.41113,11710.06348,11878.37207,20175242945,406.758911,418.734436,404.026093,416.439789,10043032427
157,8/21/2020,11878.02637,11899.25977,11564.97949,11592.48926,23762425999,416.148773,418.63797,387.441132,389.126343,11781796374
158,8/22/2020,11585.47754,11689.40723,11448.80566,11681.8252,20224191306,389.031097,396.466583,382.814636,395.835144,10131847985
159,8/23/2020,11679.69629,11713.42969,11559.9209,11664.84766,18482062658,395.562836,396.490417,385.039795,391.384491,8137303970
160,8/24/2020,11663.68945,11807.63184,11623.25,11774.5957,20681511755,391.678986,409.38858,389.314606,408.144196,10328860398
161,8/25/2020,11773.58887,11778.29981,11189.85059,11366.13477,26301509932,408.071686,408.527924,374.355377,384.001038,12428442042
162,8/26/2020,11366.89453,11530.05273,11296.99316,11488.36328,22466660958,383.977448,391.87326,378.705841,386.466125,9967343483
163,8/27/2020,11485.6084,11570.78613,11185.94141,11323.39746,23240415076,386.609863,395.349182,374.866486,382.632629,10457777652
164,8/28/2020,11325.2959,11545.61523,11316.42285,11542.5,19807127588,382.629578,397.757629,381.273834,395.874664,9120674421
165,8/29/2020,11541.05469,11585.64063,11466.29297,11506.86523,17485597759,395.687592,405.616364,393.037415,399.921478,8777703481
166,8/30/2020,11508.71387,11715.26465,11492.38184,11711.50586,19760127945,399.616699,428.663971,399.608368,428.395721,11211948040
167,8/31/2020,11713.30664,11768.87695,11598.31836,11680.82031,22285928250,428.509003,438.560333,419.770172,435.079742,12774741797
168,9/1/2020,11679.31641,12067.08106,11601.12891,11970.47852,27311555343,434.874451,487.211884,432.079193,477.05191,18862763756
169,9/2/2020,11964.82324,11964.82324,11290.79395,11414.03418,28037405299,477.007874,480.330994,424.460022,440.040497,19691854014
170,9/3/2020,11407.19141,11443.02246,10182.46484,10245.29688,31927261555,440.23999,449.532471,381.1297,385.671936,19622845896
171,9/4/2020,10230.36523,10663.91992,10207.94043,10511.81348,29965130374,384.671631,402.411743,371.636688,388.24115,16747106257
172,9/5/2020,10512.53027,10581.57129,9946.675781,10169.56738,44916565292,388.038391,394.172272,316.774353,335.260071,29880047640
173,9/6/2020,10167.2168,10353.92773,10056.88574,10280.35156,37071460174,335.334564,359.764038,319.041901,353.362274,27643678917
174,9/7/2020,10280.99805,10399.15332,9916.493164,10369.56348,33703098409,353.450256,358.211884,326.254364,352.673492,21763614732
175,9/8/2020,10369.30664,10414.77539,9945.110352,10131.5166,33430927462,353.202271,355.562866,328.816772,337.602112,17991403432
176,9/9/2020,10134.15137,10350.54297,10017.25098,10242.34766,24128292755,337.824921,359.16449,332.165009,351.110016,14547933520
177,9/10/2020,10242.33008,10503.91211,10238.13574,10363.13867,54406443211,351.429321,377.393585,351.111755,368.101898,31421134556
178,9/11/2020,10369.02832,10434.92285,10140.83691,10400.91504,45201121775,368.1185,376.630402,355.582581,374.695587,27296269329
179,9/12/2020,10409.86133,10578.83789,10292.38672,10442.1709,36750077324,374.595398,387.538452,367.842194,387.183105,13295405814
180,9/13/2020,10452.39941,10577.21484,10224.33008,10323.75586,36506852789,387.519287,388.959808,354.340179,365.570007,15005899191
181,9/14/2020,10328.73438,10800.01074,10266.00879,10680.83789,35453581940,365.699585,384.485199,357.569763,377.26886,17536695361
182,9/15/2020,10677.75488,10938.63184,10656.45996,10796.95117,32509451925,377.154022,381.508301,363.606812,364.839203,16140584321
183,9/16/2020,10797.76172,11100.12402,10704.88477,10974.90527,30769986455,364.743988,372.767426,356.682739,365.812286,16107612177
184,9/17/2020,10973.25195,11037.4209,10774.62793,10948.99023,38151810523,365.865784,393.901611,364.795135,389.019226,19899531080
185,9/18/2020,10951.82031,11034.9082,10829.65723,10944.58594,26341903912,389.337494,391.904144,376.964996,384.364532,14108357740
186,9/19/2020,10933.75293,11134.09277,10909.61816,11094.34668,22764204008,384.041656,387.076355,378.72406,385.544373,11049507684
187,9/20/2020,11095.87012,11095.87012,10814.47754,10938.27148,24699523788,385.597992,385.597992,367.09436,371.052826,12292195784
188,9/21/2020,10934.92578,10988.30469,10380.26074,10462.25977,28884999244,371.400146,375.73703,336.06897,341.786072,17398267133
189,9/22/2020,10459.62402,10568.07715,10382.72656,10538.45996,23621787804,341.723816,346.60083,336.855042,344.503174,12732578043
190,9/23/2020,10539.45703,10637.84766,10185.77441,10225.86426,22986733997,344.622498,345.63559,317.692078,320.585541,12047020995
191,9/24/2020,10227.47949,10765.79492,10215.20508,10745.54883,23017536742,320.618317,351.46463,318.418976,349.356659,13460565701
192,9/25/2020,10747.47266,10757.54883,10594.04785,10702.29004,21232549821,349.363129,357.957245,339.350311,352.161865,12254269350
193,9/26/2020,10702.23731,10778.5,10682.08203,10754.4375,18105012128,352.53125,355.960632,348.129639,354.965271,11036752997
194,9/27/2020,10752.93945,10804.73242,10643.45801,10774.42676,18016880214,354.587219,362.051361,349.094391,357.321686,11464393949
195,9/28/2020,10771.6416,10949.12305,10716.67676,10721.32715,22720365389,357.311157,366.890259,354.825134,354.9505,12102509266
196,9/29/2020,10712.46289,10858.93945,10665.34473,10848.83008,20459870042,354.974823,360.793488,351.819458,359.963409,10286529445
197,9/30/2020,10845.41113,10856.52832,10689.6709,10787.61816,20759622010,359.942352,361.210327,353.614349,360.022369,9773649426
198,10/1/2020,10785.01074,10915.84375,10493.55273,10623.33008,27178227816,360.004639,369.286987,347.197937,353.231293,12360670278
199,10/2/2020,10624.39063,10662.81348,10440.31152,10585.16406,23127839259,353.220184,354.075226,337.356934,346.532654,12946215647
