Date,BTC,ETH
2020-11-24,19107.464844,603.897766
2020-11-25,18732.121094,570.686646
2020-11-26,17150.623047,518.801147
2020-11-27,17108.402344,517.493713
2020-11-28,17717.414063,538.229797
2020-11-29,18177.484375,575.758057
2020-11-30,19625.835938,614.842529
2020-12-01,18802.998047,587.324158
2020-12-02,19201.091797,598.352356
2020-12-03,19445.398438,616.70874
2020-12-04,18699.765625,569.354187
2020-12-05,19154.230469,596.595459
2020-12-06,19345.121094,601.908997
2020-12-07,19191.630859,591.843384
2020-12-08,18321.144531,554.827759
2020-12-09,18553.916016,573.479126
2020-12-10,18264.992188,559.678528
2020-12-11,18058.904297,545.797363
2020-12-12,18803.65625,568.567322
2020-12-13,19142.382813,589.663208
2020-12-14,19246.644531,586.011169
2020-12-15,19417.076172,589.355591
2020-12-16,21310.597656,636.181824
2020-12-17,22805.162109,642.868958
2020-12-18,23137.960938,654.811951
2020-12-19,23869.832031,659.297913
2020-12-20,23477.294922,638.290833
2020-12-21,22803.082031,609.817871
2020-12-22,23783.029297,634.854187
2020-12-23,23241.345703,583.7146
2020-12-24,23735.949219,611.607178
2020-12-25,24664.791016,626.410706
2020-12-26,26437.037109,635.835815
2020-12-27,26272.294922,682.642334
2020-12-28,27084.808594,730.397339
2020-12-29,27362.4375,731.520142
2020-12-30,28840.953125,751.618958
2020-12-31,29001.720702999995,737.803406
2021-01-01,29374.152344,730.367554
2021-01-02,32127.267577999995,774.534973
2021-01-03,32782.023438,975.50769
2021-01-04,31971.914063,1040.233032
2021-01-05,33992.429688,1100.0061039999998
2021-01-06,36824.363281,1207.112183
2021-01-07,39371.042969,1225.678101
2021-01-08,40797.609375,1224.197144
2021-01-09,40254.546875,1281.077271
2021-01-10,38356.441406,1262.246704
2021-01-11,35566.65625,1090.145386
2021-01-12,33922.960938,1043.43457
2021-01-13,37316.359375,1130.73938
2021-01-14,39187.328125,1218.4530029999999
2021-01-15,36825.367188,1171.834595
2021-01-16,36178.140625,1233.5375980000001
2021-01-17,35791.277344,1230.172241
2021-01-18,36630.074219,1257.279541
2021-01-19,36069.804688,1377.295898
2021-01-20,35547.75,1382.274048
2021-01-21,30825.699219,1121.570923
2021-01-22,33005.761719,1236.512207
2021-01-23,32067.642577999995,1230.990601
2021-01-24,32289.378906,1391.609375
2021-01-25,32366.392577999995,1324.414795
2021-01-26,32569.849608999997,1357.058105
2021-01-27,30432.546875,1253.187134
2021-01-28,31649.605469,1298.101807
2021-01-29,34316.386719,1382.522827
2021-01-30,34269.523438,1376.1154789999998
2021-01-31,33114.359375,1314.986206
2021-02-01,33537.175781,1369.0405269999999
2021-02-02,35510.289063,1515.193726
2021-02-03,37472.089844,1660.909546
2021-02-04,36926.066406,1594.762695
2021-02-05,38144.308594,1718.6508789999998
2021-02-06,39266.011719,1677.846802
2021-02-07,38903.441406,1614.227783
2021-02-08,46196.464844,1746.616821
2021-02-09,46481.105469,1768.035034
2021-02-10,44918.183594,1744.2434079999998
2021-02-11,47909.332031,1783.7979739999998
2021-02-12,47504.851563,1843.532593
2021-02-13,47105.515625,1814.109863
2021-02-14,48717.289063,1805.0841059999998
2021-02-15,47945.058594,1779.7910160000001
2021-02-16,49199.871094,1781.067505
2021-02-17,52149.007813,1848.458252
2021-02-18,51679.796875,1937.449219
2021-02-19,55888.132813,1960.164795
2021-02-20,56099.51953099999,1919.5340579999997
2021-02-21,57539.945313,1935.601074
2021-02-22,54207.320313,1781.99292
2021-02-23,48824.425781,1570.203979
2021-02-24,49705.332031,1626.575684
2021-02-25,47093.851563,1475.703735
2021-02-26,46339.761719,1446.033691
2021-02-27,46188.453125,1459.973145
2021-02-28,45137.769531,1416.04895
2021-03-01,49631.242188,1564.707642
2021-03-02,48378.988281,1492.608765
2021-03-03,50538.242188,1575.853149
2021-03-04,48561.167969,1541.914307
2021-03-05,48927.304688,1533.275024
2021-03-06,48912.382813,1654.741577
2021-03-07,51206.691406,1723.153809
2021-03-08,52246.523438,1834.727905
2021-03-09,54824.117188,1868.0488280000002
2021-03-10,56008.55078099999,1799.1662600000002
2021-03-11,57805.12109400001,1826.194946
2021-03-12,57332.08984400001,1772.1024170000003
2021-03-13,61243.085938,1924.685425
2021-03-14,59302.31640599999,1854.5643309999998
2021-03-15,55907.19921900001,1791.702271
2021-03-16,56804.90234400001,1806.971802
2021-03-17,58870.89453099999,1823.449341
2021-03-18,57858.921875,1782.855103
2021-03-19,58346.65234400001,1817.624146
2021-03-20,58313.64453099999,1812.6346440000002
2021-03-21,57523.421875,1788.217041
2021-03-22,54529.14453099999,1691.3339839999999
2021-03-23,54738.945313,1678.6501460000002
2021-03-24,52774.265625,1593.413452
2021-03-25,51704.160156,1595.3592529999999
2021-03-26,55137.3125,1702.842041
2021-03-27,55973.51171900001,1716.4946289999998
2021-03-28,55950.74609400001,1691.355957
2021-03-29,57750.19921900001,1819.684937
2021-03-30,58917.69140599999,1846.033691
2021-03-31,58918.83203099999,1918.362061
2021-04-01,59095.80859400001,1977.276855
2021-04-02,59384.3125,2143.225586
2021-04-03,57603.890625,2028.422485
2021-04-04,58758.554688,2093.122803
2021-04-05,59057.87890599999,2107.887207
2021-04-06,58192.359375,2118.378906
2021-04-07,56048.9375,1971.077271
2021-04-08,58323.953125,2088.57373
2021-04-09,58245.00390599999,2072.1088870000003
2021-04-10,59793.234375,2135.942139
2021-04-11,60204.96484400001,2157.656982
2021-04-12,59893.453125,2139.353271
2021-04-13,63503.45703099999,2299.1877440000003
